url	first_seen	posted_at	portal	title	company	status	score
https://www.linkedin.com/jobs/view/associate-data-scientist-at-tech-consulting-4404644172	2026-04-26		linkedin	Associate Data Scientist	Tech Consulting	added	2.0
https://www.linkedin.com/jobs/view/data-scientist-ii-adbl175-at-audible-4375617584	2026-04-26		linkedin	Data Scientist II (ADBL175)	Audible	added	1.5
https://www.linkedin.com/jobs/view/data-scientist-ii-real-world-evidence-rwe-pharma-r-d-at-tempus-ai-4344924382	2026-04-26		linkedin	Data Scientist II, Real World Evidence (RWE), Pharma R&D	Tempus AI	added	1.5
https://www.linkedin.com/jobs/view/machine-learning-engineer-early-career-at-jobright-ai-4405931476	2026-04-26		linkedin	Machine Learning Engineer - Early Career	Jobright.ai	added	1.0
https://www.linkedin.com/jobs/view/mlops-engineer-remote-at-joveo-ai-4407130058	2026-04-26		linkedin	MLOps Engineer (Remote)	Joveo AI	added	1.0
https://www.linkedin.com/jobs/view/associate-data-scientist-at-remotehunter-4405935228	2026-04-26		linkedin	Associate Data Scientist	RemoteHunter	Evaluated	4.2
https://www.linkedin.com/jobs/view/data-scientist-at-fetchjobs-co-4405920711	2026-04-26		linkedin	Data Scientist	FetchJobs.co	added	1.0
https://www.linkedin.com/jobs/view/machine-learning-engineer-at-sundayy-4407112574	2026-04-26		linkedin	Machine Learning Engineer	Sundayy	added	1.0
https://www.linkedin.com/jobs/view/data-scientist-oncology-at-inside-higher-ed-4407116748	2026-04-26		linkedin	Data Scientist (Oncology)	Inside Higher Ed	added	1.5
https://www.linkedin.com/jobs/view/data-scientist-at-pnc-4406892285	2026-04-26		linkedin	Data Scientist	PNC	added	3.5
https://www.linkedin.com/jobs/view/machine-learning-engineer-at-fetchjobs-co-4405917746	2026-04-26		linkedin	Machine Learning Engineer	FetchJobs.co	added	3.2
https://www.linkedin.com/jobs/view/nlp-engineer-remote-at-joveo-ai-4407114558	2026-04-26		linkedin	NLP Engineer  (Remote)	Joveo AI	added	2.5
https://www.linkedin.com/jobs/view/data-scientist-forecasting-at-remotehunter-4405915388	2026-04-26		linkedin	Data Scientist - Forecasting	RemoteHunter	added	3.5
https://www.linkedin.com/jobs/view/data-scientist-ii-%E2%80%93-advanced-analytics-at-joblet-ai-4407135092	2026-04-26		linkedin	Data Scientist II – Advanced Analytics	Joblet-AI	added	3.2
https://www.linkedin.com/jobs/view/corporate-development-geologist-data-scientist-at-expand-energy-4373190204	2026-04-26		linkedin	Corporate Development Geologist / Data Scientist	Expand Energy	added	1.2
https://www.linkedin.com/jobs/view/machine-learning-engineer-remote-at-jobs-ai-4407127574	2026-04-26		linkedin	Machine Learning Engineer (Remote)	Jobs Ai	added	2.5
https://www.linkedin.com/jobs/view/machine-learning-scientist-5-production-science-at-netflix-4397828936	2026-04-26		linkedin	Machine Learning Scientist 5, Production Science	Netflix	Applied	
https://www.linkedin.com/jobs/view/machine-learning-scientist-5-ads-identity-at-netflix-4356549998	2026-04-26		linkedin	Machine Learning Scientist 5 - Ads Identity	Netflix	added	1.2
https://www.linkedin.com/jobs/view/machine-learning-engineer-evaluation-at-bedrock-robotics-4367573059	2026-04-26		linkedin	Machine Learning Engineer: Evaluation	Bedrock Robotics	added	2.5
https://www.linkedin.com/jobs/view/applied-machine-learning-engineer-at-fireworks-ai-4385322122	2026-04-26		linkedin	Applied Machine Learning Engineer	Fireworks AI	added	2.5
https://www.linkedin.com/jobs/view/junior-data-scientist-java-developer-at-synergisticit-4405938144	2026-04-26		linkedin	Junior data scientist /Java developer	SynergisticIT	added	1.5
https://www.linkedin.com/jobs/view/data-science-analyst-alzheimer-research-remote-at-remotehunter-4405930296	2026-04-26		linkedin	Data Science Analyst - Alzheimer Research - Remote	RemoteHunter	Evaluated	4.2
https://www.linkedin.com/jobs/view/data-scientist-mid-at-booz-allen-hamilton-4313499389	2026-04-26		linkedin	Data Scientist, Mid	Booz Allen Hamilton	added	3.2
https://www.linkedin.com/jobs/view/ai-applied-scientist-phd-intern-evaluation-systems-and-metrics-at-zillow-4305146798	2026-04-26		linkedin	AI Applied Scientist - PhD Intern, Evaluation Systems and Metrics	Zillow	added	1.5
https://www.linkedin.com/jobs/view/sr-machine-learning-ai-python-engineer-4379491762	2026-04-26		linkedin	Sr Machine Learning / AI Python Engineer	LinkedIn	added	1.5
https://www.linkedin.com/jobs/view/openai-engineer-at-known-at-jack-jill-4406886316	2026-04-26		linkedin	OpenAI Engineer at Known	Jack &amp; Jill	added	1.5
https://www.linkedin.com/jobs/view/ai-data-scientist-at-booz-allen-hamilton-4344966496	2026-04-26		linkedin	AI Data Scientist	Booz Allen Hamilton	added	3.5
https://www.linkedin.com/jobs/view/data-scientist-advanced-analytics-specialist-at-tata-consultancy-services-4405929716	2026-04-26		linkedin	Data Scientist / Advanced Analytics Specialist	Tata Consultancy Services	added	3.8
https://www.linkedin.com/jobs/view/junior-data-engineer-at-medlytix-4407137520	2026-04-26		linkedin	Junior Data Engineer	Medlytix	Evaluated	2.0
https://www.linkedin.com/jobs/view/data-engineer-sql-at-netrolynx-ai-4407138410	2026-04-26		linkedin	Data Engineer -SQL	Netrolynx AI	added	3.8
https://www.linkedin.com/jobs/view/data-engineer-remote-at-joveo-ai-4407123349	2026-04-26		linkedin	Data Engineer (Remote)	Joveo AI	Evaluated	4.2
https://www.linkedin.com/jobs/view/data-engineer-at-andela-4399298853	2026-04-26		linkedin	Data Engineer	Andela	added	3.2
https://www.linkedin.com/jobs/view/data-engineer-at-prominence-advisors-4365107588	2026-04-26		linkedin	Data Engineer	Prominence Advisors	Evaluated	4.0
https://www.linkedin.com/jobs/view/analytics-engineer-remote-at-joveo-ai-4407118498	2026-04-26		linkedin	Analytics Engineer (Remote)	Joveo AI	Responded	
https://www.linkedin.com/jobs/view/data-engineer-at-teza-technologies-4367608158	2026-04-26		linkedin	Data Engineer	Teza Technologies	added	3.0
https://www.linkedin.com/jobs/view/data-engineer-at-haystack-4405905001	2026-04-26		linkedin	Data Engineer	Haystack	Evaluated	4.2
https://www.linkedin.com/jobs/view/ai-data-engineer-at-virtusa-4404190331	2026-04-26		linkedin	AI Data Engineer	Virtusa	added	3.5
https://www.linkedin.com/jobs/view/backend-ai-forward-data-engineer-at-nicsa-4405918331	2026-04-26		linkedin	Backend AI-Forward Data Engineer	Nicsa	added	3.2
https://www.linkedin.com/jobs/view/analytics-engineer-at-cognition-4347907138	2026-04-26		linkedin	Analytics Engineer	Cognition	added	3.5
